AUBT_memory01: 648.1297><1643.094><252.1295><1225.225><1><><228><163
AUBT_vulturetanks08: -969.8705><-440.9068><-644.8701><-460.775><1><><72><43
AUBT_vulturetanks09: -1196.409><-367.218><-942.8103><-453.6861><1><><72><83
AUBT_vulturetanks10: -962.8705><-5.906832><-721.8698><-91.77503><1><><72><43
AUBT_vulturetanks11: -905.8715><-194.9069><-411.8702><-142.7751><2><><72><43
AUBT_vulturetanks12: -1196.294><-305.618><-724.8698><-313.775><2><><72><83
AUBT_vulturetanks13: -1188.871><-14.90682><-922.8703><-45.77507><1><><72><83
AUBT_vulturetanks14: -1182.871><184.0934><-924.8703><188.2252><1><><72><43
AUBT_vulturetanks15: 220.1282><-194.9069><183.1296><-225.775><1><><72><83
AUBT_vulturetanks16: 506.128><-159.9068><350.1294><-229.775><1><><72><83
AUBT_vulturetanks17: -65.87218><116.0931><88.12917><0.2249317><1><><72><123
AUBT_vulturetanks18: 185.1279><191.0934><252.1297><158.225><1><><72><43
AUBT_vulturetanks19: 164.1279><356.0931><252.1297><308.2253><1><><72><43
AUBT_vulturetanks20: 443.128><385.0931><421.1294><307.2253><1><><72><43
AUBT_vulturetanks21: -908.8715><-24.90682><-410.8702><5.224935><2><><72><43
AUBT_vulturetanks22: -675.8712><-73.90681><-84.87061><-0.7750683><1><><72><83
AUBT_vulturetanks23: -376.56><187.6497><-193.8634><229.7036><1><><124><83
AUBT_vulturetanks24: -747.4196><-312.0862><-539.6559><-296.2464><1><><72><43
AUBT_vulturetanks25: -489.872><-300.9069><-369.8702><-302.7751><2><><176><43
AUBT_vulturetanks26: 298.128><-27.90682><354.1294><-2.775068><2><><72><43
AUBT_muddytunnelsshelter01: 1601.129><-835.9067><1037.13><-765.775><2><><72><43
AUBT_muddytunnelsshelter02: -1154.287><-690.623><-807><-869.9552><1><><72><43
AUBT_muddytunnels01: 1483.128><-833.9067><1040.13><-623.775><1><><72><43
AUBT_muddytunnels02: 1721.129><-835.9067><1204.129><-607.775><1><><72><43
AUBT_muddytunnels03: 2203.127><-778.9067><1376.129><-608.775><1><><228><83
AUBT_muddytunnels04: 2681.127><-729.9067><1854.129><-564.775><1><><72><83
AUBT_muddytunnels05: 2683.127><-956.9067><1853.129><-711.775><2><><72><43
AUBT_muddytunnels06: 2416.127><-997.9067><1682.129><-751.775><2><><72><43
AUBT_muddytunnels07: 2674.127><-454.9069><1800.129><-331.775><1><><124><43
AUBT_muddytunnels08: 2923.127><-834.9067><2016.129><-772.775><2><><72><123
AUBT_muddytunnels09: 2924.127><-600.9067><2016.129><-469.775><1><><72><43
AUBT_muddytunnels10: 3209.127><-756.9067><2191.13><-568.775><1><><176><43
AUBT_muddytunnels11: 1093.128><-833.9067><670.1294><-604.775><1><><176><43
AUBT_muddytunnels12: 689.1281><-833.9067><504.1295><-605.775><1><><72><43
AUBT_muddytunnels13: -106.2873><-834.623><-242.9996><-714.9557><1><><280><43
AUBT_muddytunnels14: -815.2877><-949.6227><-629.9998><-873.9552><1><><176><123
AUBT_muddytunnels15: -1529.287><-835.623><-1227.001><-716.9557><1><><280><43
AUBT_muddytunnels16: -2396.289><-835.623><-1821.999><-716.9557><1><><280><43
OffScreenDen_AUBT: 532.1282><-288.9069><251.1294><1163.225><1><><0><0
Connection: AUBT_secretF,AUBT_vulturetanks07,34,4,14,29,3,1
Connection: AUBT_ballastterminalsshelter01,AUBT_ballastterminals03,34,23,50,20,2,0
Connection: AUBT_ballastterminals01,AUBT_ballastterminals02,36,77,139,9,1,3
Connection: AUBT_ballastterminals01,AUBT_vulturetanks17,33,14,33,101,3,1
Connection: AUBT_ballastterminals03,AUBT_ballastterminals04,65,35,17,11,0,2
Connection: AUBT_ballastterminals03,AUBT_vulturetanks14,10,8,21,37,3,1
Connection: AUBT_ballastterminals04,AUBT_ballastterminals05,13,74,14,11,2,2
Connection: AUBT_ballastterminals05,AUBT_ballastterminals08,15,181,26,8,2,3
Connection: AUBT_ballastterminals05,AUBT_ballastterminals07,11,131,65,36,2,0
Connection: AUBT_ballastterminals05,AUBT_ballastterminals06,17,53,64,12,2,0
Connection: AUBT_ballastterminals06,AUBT_ballastterminals07,16,37,14,5,1,3
Connection: AUBT_ballastterminals08,AUBT_ballastterminals13,30,189,63,8,2,0
Connection: AUBT_ballastterminals08,AUBT_ballastterminals10,24,144,67,17,2,0
Connection: AUBT_ballastterminals08,AUBT_ballastterminals22,69,67,15,26,0,2
Connection: AUBT_ballastterminals08,AUBT_ballastterminals09,26,63,54,5,2,3
Connection: AUBT_ballastterminals09,AUBT_ballastterminals10,17,36,20,4,1,2
Connection: AUBT_ballastterminals11,AUBT_ballastterminals22,7,19,56,19,2,0
Connection: AUBT_ballastterminals13,AUBT_ballastterminals14,63,36,11,7,0,0
Connection: AUBT_vulturetanksshelter01,AUBT_vulturetanks04,23,24,119,12,2,0
Connection: AUBT_vulturetanksshelter02,AUBT_vulturetanks18,30,24,68,32,2,1
Connection: AUBT_vulturetanks01,AUBT_vulturetanks02,8,114,66,28,2,0
Connection: AUBT_vulturetanks01,AUBT_muddytunnels13,6,5,265,5,2,3
Connection: AUBT_vulturetanks01,AUBT_muddytunnels12,55,5,8,3,3,2
Connection: AUBT_vulturetanks02,AUBT_vulturetanks03,8,31,66,21,1,0
Connection: AUBT_vulturetanks03,AUBT_vulturetanks15,60,116,12,25,1,1
Connection: AUBT_vulturetanks03,AUBT_vulturetanks25,5,113,167,35,2,0
Connection: AUBT_vulturetanks03,AUBT_vulturetanks04,3,74,113,31,2,0
Connection: AUBT_vulturetanks04,AUBT_vulturetanks07,10,31,37,6,2,3
Connection: AUBT_vulturetanks04,AUBT_vulturetanks05,4,8,64,5,2,3
Connection: AUBT_vulturetanks05,AUBT_vulturetanks24,34,39,34,4,1,3
Connection: AUBT_vulturetanks05,AUBT_vulturetanks08,5,25,66,31,2,0
Connection: AUBT_vulturetanks06,AUBT_vulturetanks10,54,38,16,8,1,2
Connection: AUBT_vulturetanks06,AUBT_vulturetanks09,59,7,10,74,3,2
Connection: AUBT_vulturetanks07,AUBT_vulturetanks22,57,29,58,6,1,3
Connection: AUBT_vulturetanks07,AUBT_vulturetanks24,34,6,64,13,3,0
Connection: AUBT_vulturetanks08,AUBT_vulturetanks09,5,31,50,4,2,3
Connection: AUBT_vulturetanks10,AUBT_vulturetanks13,16,34,57,57,2,0
Connection: AUBT_vulturetanks10,AUBT_vulturetanks11,55,10,3,31,0,2
Connection: AUBT_vulturetanks11,AUBT_vulturetanks21,68,31,64,4,0,3
Connection: AUBT_vulturetanks11,AUBT_vulturetanks25,65,16,6,13,0,2
Connection: AUBT_vulturetanks11,AUBT_vulturetanks24,6,12,10,35,2,1
Connection: AUBT_vulturetanks12,AUBT_vulturetanks13,13,77,47,5,2,0
Connection: AUBT_vulturetanks12,AUBT_vulturetanks24,62,13,7,13,0,2
Connection: AUBT_vulturetanks13,AUBT_vulturetanks14,38,75,44,7,1,2
Connection: AUBT_vulturetanks15,AUBT_vulturetanks26,46,71,20,3,1,3
Connection: AUBT_vulturetanks15,AUBT_vulturetanks17,5,63,37,19,2,3
Connection: AUBT_vulturetanks15,AUBT_vulturetanks16,59,23,9,14,1,2
Connection: AUBT_vulturetanks16,AUBT_vulturetanks26,6,75,66,11,2,0
Connection: AUBT_vulturetanks17,AUBT_vulturetanks18,65,113,10,38,0,2
Connection: AUBT_vulturetanks17,AUBT_vulturetanks23,6,113,116,69,2,0
Connection: AUBT_vulturetanks18,AUBT_vulturetanks19,20,38,27,3,1,3
Connection: AUBT_vulturetanks19,AUBT_vulturetanks20,68,27,5,24,0,2
Connection: AUBT_vulturetanks21,AUBT_vulturetanks22,64,38,6,74,1,2
Connection: AUBT_vulturetanks22,AUBT_vulturetanks23,68,68,5,16,0,2
Connection: AUBT_muddytunnelsshelter01,AUBT_muddytunnels01,36,31,68,31,1,0
Connection: AUBT_muddytunnelsshelter02,AUBT_muddytunnels15,34,9,263,33,3,1
Connection: AUBT_muddytunnels01,AUBT_muddytunnels11,10,4,166,4,3,0
Connection: AUBT_muddytunnels01,AUBT_muddytunnels02,61,4,6,4,3,2
Connection: AUBT_muddytunnels02,AUBT_muddytunnels03,65,4,7,5,0,2
Connection: AUBT_muddytunnels03,AUBT_muddytunnels04,221,60,6,55,0,2
Connection: AUBT_muddytunnels03,AUBT_muddytunnels06,159,6,10,40,3,1
Connection: AUBT_muddytunnels04,AUBT_muddytunnels07,32,76,19,12,1,3
Connection: AUBT_muddytunnels04,AUBT_muddytunnels10,65,53,8,20,0,2
Connection: AUBT_muddytunnels04,AUBT_muddytunnels05,64,18,53,19,0,1
Connection: AUBT_muddytunnels05,AUBT_muddytunnels06,8,22,66,22,2,0
Connection: AUBT_muddytunnels05,AUBT_muddytunnels08,65,17,11,12,0,2
Connection: AUBT_muddytunnels07,AUBT_muddytunnels09,108,12,7,34,3,2
Connection: AUBT_muddytunnels08,AUBT_muddytunnels09,29,110,26,4,2,3
Connection: AUBT_muddytunnels11,AUBT_muddytunnels12,9,4,63,3,2,0
Connection: AUBT_muddytunnels13,AUBT_muddytunnels14,15,5,163,82,3,0
Connection: AUBT_muddytunnels14,AUBT_muddytunnels15,12,82,267,4,2,0
Connection: AUBT_muddytunnels15,AUBT_muddytunnels16,12,4,267,4,2,0
